state,city,station_count,valid_station_count,mean_aqi,max_aqi,severe_station_count,very_poor_station_count,poor_station_count,city_risk_level,data_quality
Uttar Pradesh,Raebareli,2,1,500.0,500.0,1,0,0,Severe,Valid station data available
Uttar Pradesh,Varanasi,4,4,212.68,323.85,0,1,1,Poor,Valid station data available
Uttar Pradesh,Vrindavan,1,1,200.0,200.0,0,0,0,Moderate,Valid station data available
Uttarakhand,Dehradun,1,1,200.0,200.0,0,0,0,Moderate,Valid station data available
Uttarakhand,Kashipur,1,1,306.27,306.27,0,1,0,Very Poor,Valid station data available
Uttarakhand,Rishikesh,1,1,419.06,419.06,1,0,0,Severe,Valid station data available
West Bengal,Asansol,4,3,361.65,481.32,1,1,1,Very Poor,Valid station data available
West Bengal,Barrackpore,1,1,425.28,425.28,1,0,0,Severe,Valid station data available
West Bengal,Durgapur,3,3,225.9,341.42,0,2,0,Poor,Valid station data available
West Bengal,Haldia,1,1,419.06,419.06,1,0,0,Severe,Valid station data available
West Bengal,Howrah,5,4,342.42,500.0,1,1,2,Very Poor,Valid station data available
West Bengal,Kolkata,7,7,345.45,450.19,2,3,2,Very Poor,Valid station data available
West Bengal,Siliguri,1,1,394.14,394.14,0,1,0,Very Poor,Valid station data available
